1,Elementary - K-8 Education
2,Middle School Education
3,Secondary Education
4,Secondary Education - Career and Technical
5,Special Ed High Incidence
6,Special Education -- Low Incidence
7,Special Education -- Gifted Education
8,Promise Academies
9,Early Childhood Programs
10,Extended Day
11,Summer Programs
12,English Language Learners - Instruction
13,Per Diem Substitute Service
14,Desegregation
15,Itinerant Instrumental Music
16,Alternative Education - Transition Programs
17,Alternative Education - Multiple Pathways
18,Supplemental Teachers